date,feesUSD,tvlUSD,volumeUSD,txCount
2021-12-06,5553029.516154563603814501691963608,4342253761.316350164743912824765937,3875172836.268606481483457587707615,8970727
2021-12-07,3539309.468114982002758618750163348,4340035224.388129316574274633400235,2117655931.288535689695396606340943,9016051
2021-12-08,3506153.14070817443900205292095268,4430831154.22878729851335133453297,2119627432.752022841628574830379148,9056743
2021-12-09,4468481.506206774337345755849443764,4256015314.567441511208998446623543,3067099251.284060493681931878618114,9102207
2021-12-10,4949490.745131606423641528307571482,4160652799.567767654816667842421154,3495365692.205558742337764574085306,9147277
2021-12-11,3857652.296018943077263333127922385,4307158330.371651368795168422614035,2296898777.060344076451058582877888,9193394
2021-12-12,2271243.927220820762793580592503767,4361755486.239485759057812545972536,1465916414.073130818567669154585694,9229268
2021-12-13,3966427.935057248642618623518473705,4094137913.905481485020237482240935,2636179751.069885785131785400394466,9272533
2021-12-14,2874533.677198411131727628347682696,4041079053.438686018652992584631621,2104642013.715907199399184418159219,9311651
2021-12-15,4340602.581200153050538925136818529,4176276073.83859506764163252587942,3359599238.350468469992348509695752,9351878
2021-12-16,3297076.87722917316312908641546276,4125436527.521464232488952957122324,2047812431.632809681670999492129994,9388036
2021-12-17,3707942.958494361110683934401864149,4090347845.497695655693557403989924,2727655524.139702485903415913909133,9423938
2021-12-18,2755568.234837924190129336688989668,4173790020.818651802446996302940442,1929503079.240963511188075112956103,9456363
2021-12-19,2643622.092868610973081362694829103,4189070882.103934580161835595702684,1720074075.710418053132690196101448,9488101
2021-12-20,3264972.546028871159788725212141127,4213794013.076186081927613692013669,2204446272.379195687685084325905925,9524006
2021-12-21,2617258.326351612460685734059037449,4290150008.533720962554153323204172,1644936910.914320905483487836281183,9558530
2021-12-22,2482899.039762321701368648628909361,4296261588.991524244481308244714355,1378965422.895301556333795741800146,9591298
2021-12-23,3477386.667902959027884739869901417,4372153516.441602763833944139992471,1772079133.739746661042220080409357,9629047
2021-12-24,2703232.695500037589384246256974335,4310510716.692015785797021991085596,1384602670.721514392673799655015196,9674650
2021-12-25,4954428.022213292528617196879140076,4370371767.53776886478460562148903,1479326047.900516322531521457762795,9759131
2021-12-26,2496900.626812798845646206743043767,4375935227.523830603583646438680793,1210475556.269569169600683343473273,9807049
2021-12-27,2449910.047342462119699359236829454,4364181770.223087692880947992552407,1149372408.647411708267882201094348,9847212
2021-12-28,3840104.600484639920725271018024541,4217886595.996185910744684189993872,2206627771.638275896190930604300455,9890762
2021-12-29,3300969.335914269048689256488470436,4029123806.489575209273684474148727,1473645688.578531844174289675291777,9945275
2021-12-30,2577160.941045615083909600906316515,4082440983.616714921781125087979062,1285208782.72258155422070605846421,9982504
2021-12-31,2684899.160386218162225886882587175,4068288413.176084024879947104159302,1352841299.499831736651690979230593,10022527
2022-01-01,2058516.746480691023284063464980073,4160212360.83334388204841571964968,1041312925.912639423488349264907153,10055859
2022-01-02,2110515.922948542073970739986136023,4259029952.3477498207859939739179,1039196096.374383003528544206124792,10091621
2022-01-03,2619230.090402914445431581454801301,4234541485.885006951514711120085672,1241909020.040774158402262105763692,10129459
2022-01-04,2805284.817671987229208686906350654,4247541500.422535391816232928590895,1575335765.935767301132654719637462,10162777
2022-01-05,4140383.630023988686036757790000375,4046003289.58857242964137744069708,2132895794.005273175976903720600011,10202791
2022-01-06,3709286.150093946452997663751628269,4003256996.174157417037569233948548,1912664666.832691960939446822200277,10241451
2022-01-07,4182450.752446505378742470731233325,3777366389.396382251782105509990123,2382263038.645324685476850454957578,10281525
2022-01-08,2890256.008277649503377231885204324,3775349676.504937453082460604161334,1974941042.065667505071994143244489,10315134
2022-01-09,1934654.916649354516075247050215757,3829090933.248489306351897453419357,1153942414.74237173566232896171168,10339287
2022-01-10,5192403.911361256954952925350579976,3801652450.652187361043207329030283,2454543324.153799677340122380753799,10390510
2022-01-11,3507646.561344338653629812263483384,3978346454.866643869214740592883719,1618147186.535906430729993889538637,10428679
2022-01-12,3650104.055907697801634253245389391,3936812725.344119665637800873304889,1605841600.349496227761361525618785,10466896
2022-01-13,3234166.568357725974862521025531136,3861828539.245943643248943649611033,1872114014.980683465789030340158736,10500266
2022-01-14,2544231.074685788197653089088488344,3939195865.959977870720630218212071,1404676979.905772393862509903449676,10527783
2022-01-15,1822379.280090357092549863225352641,3977318602.564122678970566121257441,1017419001.506923312005656680017295,10554336
2022-01-16,2269563.876351437460161762405886305,4028963602.058744654881708841970635,1075797258.282927661433273881401896,10582290
2022-01-17,3051937.288219090928479368233481886,3922163426.00651989715546307572606,1616408026.349576498705733316326252,10619352
2022-01-18,2868825.432026190709996723405025051,4072421634.270075088368432790676725,1720821353.961274153530311778538742,10653879
2022-01-19,2821053.654135672196027887320393649,4014396678.047719624878530760850217,1734659355.137904346120014129001104,10690094
2022-01-20,3247446.072331925416127984181338787,3952694588.466804436790852601482599,1982948082.974969387679699408896781,10733291
2022-01-21,6363289.096973946187754593943972369,3458159455.629592808199640062785556,4540175969.734897754724452866761068,10788341
2022-01-22,4498978.056307051981181831320145715,3314606574.043852395128549417558451,3056199732.626110344866794519925827,10841433
2022-01-23,2456266.689641707291782688283130276,3428689995.024518157738527146005865,2384480971.83757174151568630655437,10874635
2022-01-24,3949867.88161860332245816465217153,3354670627.172346703649951659290993,3345839125.604227216781417823988312,10920133
2022-01-25,2428112.53712773703166414411680882,3453684317.560031527255086007602508,1716779539.898418837418254903073251,10957167
2022-01-26,3341184.70265318617961923474926701,3429910952.392132734338736813883597,2722756160.113021597769168313917873,10995471
2022-01-27,2642341.329554855040649287065180515,3475344391.174586853950649942130756,2145385912.653803171455907097567406,11029429
2022-01-28,2293993.679302316850685449253556372,3676090895.507592989497212112127257,2267076734.576981215366112076429859,11057621
2022-01-29,1615052.20552561886745297768358552,3767590822.789445804417697201581805,1376677071.142084324429495859276511,11084198
2022-01-30,1469610.686858771221416344613459166,3755260905.354088815430845493426458,1105902496.78723277064942263659954,11108841
2022-01-31,1818060.522105688528413647142255266,3840023237.052655330986188221023977,1456883426.941748653794843460983694,11135708
2022-02-01,2099869.237478179420784575733243851,3962877320.312026171867200515278808,1658342721.170688224399819994259453,11160601
2022-02-02,2114756.72937759326883857768038044,3905912040.359658713648129265074312,1560942031.107003910605207908254152,11187701
2022-02-03,1941258.425513966581954456437237532,3961975011.211440334790637008577388,1454658612.376179441307516414538968,11215039
2022-02-04,2219363.185890820324479468276122916,4113944634.566337850281349329189731,1627956560.391600305934742138774793,11248263
2022-02-05,1919730.32946795033597817445088715,4307950659.097321657632341653280166,1472550666.918352612034701544316347,11278949
2022-02-06,1650491.128420024893347842991846028,4403965231.96191439783447796536612,1123909158.588543117429499789694577,11311242
2022-02-07,2393460.467915003603914502878485075,4471107080.5172301788487588241365,1569933853.384897510382188877294194,11345602
2022-02-08,2349547.126493939158694297423942361,4456414029.552844002449222934783555,1558741461.386748031881307035399298,11379019
2022-02-09,2204138.886626364524547120456995226,4568733996.300579759718488895785509,1421373324.639730152402197311133191,11412806
2022-02-10,2935972.11766680304438653710012349,4420247233.610511438250508241635358,2144225684.226777808572018407735092,11448795
2022-02-11,2824891.315801801265074438994319743,4307510133.601362674522233196462735,2191045635.526221578510184104412476,11484904
2022-02-12,1798172.863515469318892721613332109,4348768447.87149517617599806980895,1379593993.981616846326229272594048,11515071
2022-02-13,1322657.288603711130021149000411089,4422841791.864502521975099555802171,927782385.3016723531603430713164444,11543098
2022-02-14,1562619.821072188056784717883035892,4514004814.613878060466003567454772,1240667058.32593549255334223559743,11573331
2022-02-15,2012852.247383713326574612918572016,4787412868.717989318366083837881219,1562626826.498485501029075631731757,11606075
2022-02-16,2001918.719968342010669544163489078,4824811795.63110833543540551007808,1520020994.118313478863706811501351,11635412
2022-02-17,2569653.274839937970255815864754054,4808426937.179502600409047705572415,1914462467.831003169830937717853979,11671045
2022-02-18,2131885.620437428739074549501600232,4713822187.808512727528245974311693,1548654367.736953379259606458332551,11703116
2022-02-19,1463350.703632806598743999880620467,4594733387.047913809656146777990205,943974060.9993977810597450540858471,11733842
2022-02-20,2169917.358238129775158117932677741,4388813934.399280966370092600441886,1614174519.31940080454154036722432,11771246
2022-02-21,2798631.358806762425230678156376374,4319334564.480260854416044817759615,2293320550.597686396084241514308102,11803520
